Region,Owner,ImageId,Name,CreationDate
us-east-1,ubuntu,ami-0005a7fa4210bc7a8,ubuntu-eks/k8s_1.26/images/hvm-ssd/ubuntu-focal-20.04-arm64-server-20250530,2025-05-30T19:55:57.000Z
us-east-1,ubuntu,ami-0cbf662a414128e7b,ubuntu-pro-server/images/hvm-ssd/ubuntu-jammy-22.04-amd64-pro-server-20250612,2025-06-12T06:45:12.000Z
us-east-1,ubuntu,ami-0c726db27bc0f02ac,ubuntu/images-testing/hvm-ssd-gp3/ubuntu-questing-daily-amd64-server-20250609,2025-06-09T03:37:56.000Z
us-east-1,ubuntu,ami-0e3f867d1815e4a15,ubuntu-eks/k8s_1.29/images/hvm-ssd/ubuntu-jammy-22.04-arm64-server-20250718,2025-07-18T19:25:09.000Z
us-east-1,ubuntu,ami-06a2ebee73dfa9339,ubuntu-pro-server/images/hvm-ssd/ubuntu-focal-20.04-arm64-pro-server-20250823,2025-08-24T00:04:12.000Z
us-east-1,ubuntu,ami-01c00afb8fb9a3525,ubuntu-pro-minimal/images/hvm-ssd/ubuntu-jammy-amd64-pro-minimal-20250502,2025-05-02T21:34:32.000Z
us-east-1,ubuntu,ami-0dd3c25967c6fea59,ubuntu-eks/k8s_1.24/images/hvm-ssd/ubuntu-focal-20.04-amd64-server-20240201,2024-02-01T08:35:39.000Z
us-east-1,ubuntu,ami-018000c1f29d546b2,ubuntu-eks/k8s_1.23/images/hvm-ssd/ubuntu-focal-20.04-amd64-server-20240208,2024-02-08T07:17:44.000Z
us-east-1,ubuntu,ami-004967c49c80c5861,ubuntu-pro-server/images/hvm-ssd/ubuntu-jammy-22.04-amd64-pro-server-20250530,2025-05-30T06:54:06.000Z
us-east-1,ubuntu,ami-01eba98c26f317c58,ubuntu-minimal/images/hvm-ssd/ubuntu-lunar-23.04-arm64-minimal-20240118,2024-01-18T20:47:08.000Z
us-east-1,ubuntu,ami-07e6fe014b29d8b70,ubuntu-eks/k8s_1.31/images/hvm-ssd/ubuntu-jammy-22.04-amd64-server-20250501,2025-05-01T23:06:56.000Z
us-east-1,ubuntu,ami-0acc97cbd1ef754b1,ubuntu-eks-pro/k8s_1.28/images/hvm-ssd/ubuntu-focal-20.04-amd64-server-20250527,2025-05-27T20:18:43.000Z
us-east-1,ubuntu,ami-0ae8595e2aff47037,ubuntu-pro-server/images/hvm-ssd-gp3/ubuntu-noble-24.04-amd64-pro-server-20250618,2025-06-18T10:39:50.000Z
us-east-1,ubuntu,ami-0d533c492f293e6f6,ubuntu/images-testing/hvm-ssd-gp3/ubuntu-questing-daily-amd64-server-20250801,2025-08-01T03:54:29.000Z
us-east-1,ubuntu,ami-0f1b9870d72f2762f,ubuntu-pro-server/images/hvm-ssd/ubuntu-jammy-22.04-arm64-pro-server-20250702,2025-07-02T06:44:17.000Z
us-east-1,ubuntu,ami-02ca6dde9e3b7a5c0,ubuntu-minimal/images-testing/hvm-ssd-gp3/ubuntu-plucky-daily-arm64-minimal-20250606,2025-06-06T17:17:05.000Z
